what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940366520
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940386341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940388335
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940405327
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940409825
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940410505
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940411691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940413137
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940434229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940436183
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940481096
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940485301
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940494173
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940503624
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940504801
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940504867
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940562508
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940574806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1310940581910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940586773
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940588580
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940612781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940659235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940659356
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940671763
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940673302
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940720242
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940737700
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940767373
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940769021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940784422
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940790017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940803764
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940808777
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1310940822613
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1310940844930
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940846489
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940847770
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940848313
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940878220
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940884697
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310940895659
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1310940914431
